age,fnlwgt,hours-per-week,race
74,99183,9,0
38,190387,50,0
44,202692,40,0
44,109339,46,4
26,108658,40,0
36,197202,40,1
41,101739,50,0
67,231559,48,0
39,207853,50,0
57,190942,30,1
29,102345,40,0
31,41493,45,0
34,190027,40,1
44,210525,40,0
29,133937,40,0
30,237903,40,0
27,163862,40,0
27,201872,50,0
32,84179,45,0
58,51662,8,0
35,233327,40,0
21,259510,36,0
28,184831,40,0
46,245724,50,0
36,27053,40,0
72,205343,40,0
35,229328,40,1
33,319560,40,1
69,136218,40,0
35,54576,40,0
31,323069,20,0
34,148291,32,0
30,152453,40,0
28,114053,55,0
54,212960,35,0
47,264052,50,0
24,82804,40,1
52,334273,60,0
20,27337,48,3
43,188436,45,0
45,433665,40,0
29,110663,35,0
47,87490,42,0
24,354351,40,0
51,95469,40,0
17,242718,12,0
37,22463,40,0
27,158156,70,0
29,350162,40,0
18,165532,25,0
36,28738,35,0
58,283635,40,0
26,86646,45,0
65,195733,30,0
57,69884,40,0
59,199713,40,0
27,181659,40,0
31,340939,40,0
21,197747,24,0
29,34292,60,0
18,156764,40,0
52,25826,47,0
57,103948,80,0
42,137390,40,0
55,105138,40,2
60,39352,48,0
31,168387,40,0
23,117789,40,0
27,267147,40,0
23,99399,25,3
42,214242,50,0
25,200408,40,0
49,136455,45,0
32,239824,40,0
19,217039,28,0
60,51290,40,0
42,175674,40,0
35,194404,40,0
48,45612,37,1
51,410114,40,0
29,182521,40,3
36,339772,40,1
17,169658,21,0
52,200853,60,0
24,247564,40,0
24,249909,50,0
26,208122,40,0
27,109881,20,0
39,207824,60,0
30,369027,45,1
50,114117,32,0
52,51048,55,0
46,102388,45,0
23,190483,20,0
45,462440,20,1
65,109351,24,1
29,34383,55,0
47,241832,40,0
30,124187,60,1
34,153614,45,0
38,267556,64,0
33,205469,40,0
49,268090,26,0
47,165039,40,1
49,120451,40,1
43,154374,60,0
30,103649,40,1
58,35723,60,0
19,262601,14,0
21,226181,40,0
33,175697,60,0
47,248145,50,0
52,289436,60,0
26,75654,55,0
60,199378,40,0
21,160968,40,0
36,188563,50,0
31,55849,45,0
50,195322,40,0
31,402089,40,0
71,78277,15,0
58,158611,50,0
30,169496,40,0
20,130959,20,0
24,556660,50,0
35,292472,40,2
38,143774,45,0
27,288341,32,0
29,71592,40,2
70,167358,15,0
34,106742,45,0
44,219288,35,0
43,174524,40,0
44,335183,40,1
35,261293,60,0
27,111900,40,0
43,194360,38,0
20,81145,25,0
42,341204,40,0
27,249362,40,0
42,247019,40,1
20,114746,40,2
24,172146,40,0
48,110457,40,0
17,80077,20,0
17,368700,10,0
33,182556,40,0
50,219420,50,0
22,240817,40,0
17,102726,16,0
32,226267,40,0
31,125457,45,0
58,204021,50,0
29,92262,48,0
37,161141,40,0
34,190290,40,0
23,430828,40,1
18,59342,5,0
34,136721,40,0
66,149422,4,0
45,86644,55,0
41,195124,35,0
26,167350,30,0
54,113000,40,0
24,140027,45,1
42,262425,50,0
20,316702,20,0
23,335453,20,0
25,202480,45,0
35,203628,60,0
31,118710,40,0
30,189620,40,0
19,475028,20,0
36,110866,50,0
31,243605,40,0
21,163870,30,0
31,80145,40,0
46,295566,65,0
44,63042,50,0
40,229148,40,1
45,242552,40,1
60,177665,35,0
18,208103,25,0
28,296450,40,0
36,70282,40,1
36,271767,40,0
40,144995,40,0
36,382635,35,0
31,295697,40,1
33,194141,40,0
19,378418,40,0
22,214399,15,0
34,217460,45,0
33,182556,40,0
41,125831,60,0
29,271328,40,0
50,50459,42,0
42,162140,45,0
43,177937,40,0
44,111502,40,0
20,299047,20,0
31,223212,40,0
65,118474,59,0
23,352139,24,0
55,173093,40,2
26,181655,45,0
25,332702,15,0
45,51164,40,1
35,234901,40,0
36,131414,36,1
43,260960,50,0
56,156052,20,1
42,279914,40,0
19,192453,25,0
55,200939,72,0
42,151408,50,0
26,112847,40,0
17,316929,20,0
42,126319,40,0
55,197422,40,0
32,267736,40,1
29,267034,40,1
46,193047,37,0
29,356089,40,0
22,223515,20,0
58,87510,40,0
23,145111,50,0
39,48093,40,0
27,31757,38,0
54,285854,40,0
33,120064,45,0
46,167381,40,0
37,103408,40,1
36,101460,18,0
59,420537,38,0
34,119411,40,0
53,128272,70,0
51,386773,55,0
32,283268,42,0
31,301526,40,0
22,151790,30,0
47,106252,50,0
32,188557,40,0
26,171114,38,0
37,327323,32,0
31,244147,55,0
37,280282,24,0
55,116442,38,0
23,282579,56,0
36,51838,40,0
34,73585,40,0
43,226902,50,0
54,279129,40,0
43,146908,40,0
28,196690,42,0
40,130760,50,0
41,49572,60,0
40,237601,55,4
42,169628,38,1
61,36671,50,0
18,231193,30,0
59,192130,16,0
21,149704,40,0
48,102102,50,0
41,32185,40,0
18,196061,33,0
23,211046,40,0
60,31577,60,0
22,162343,20,1
61,128831,40,0
25,316688,40,1
46,90758,35,0
43,274363,40,0
43,154538,40,0
24,106085,30,1
68,315859,20,0
31,51471,38,0
17,193830,20,0
32,231043,48,0
50,23780,40,0
33,169879,47,0
64,270333,40,0
20,138768,30,0
30,191571,36,0
22,219941,40,1
43,94113,45,0
22,137510,40,0
17,32607,20,0
47,93208,75,0
41,254440,60,0
56,186556,50,0
64,169871,45,0
47,191277,50,0
48,167159,40,0
31,171871,46,0
29,154411,40,0
30,129227,40,0
32,110331,60,0
57,34269,42,0
62,174355,40,0
39,680390,24,0
43,233130,25,0
24,165474,40,0
42,257780,15,0
53,194259,40,0
26,280093,40,0
73,177387,40,0
72,28929,24,0
55,105304,40,0
25,499233,40,0
41,180572,50,0
24,321435,50,0
63,86108,6,0
17,198124,20,0
35,135162,50,0
51,146813,40,0
62,291175,48,0
55,387569,40,0
43,102895,40,0
40,33274,50,0
37,86551,45,0
39,138192,40,0
31,118966,18,0
61,99784,40,0
26,90980,55,0
46,177407,50,0
26,96467,40,0
48,327886,50,0
34,111567,40,0
34,166545,40,0
59,142182,40,0
34,188798,40,0
49,38563,56,0
18,216284,20,0
43,191547,40,0
48,285335,50,0
28,142712,70,0
33,80945,40,0
24,309055,15,0
21,62339,40,0
17,368700,28,0
39,176186,50,0
29,266855,40,0
44,48087,40,0
24,121313,50,0
71,143437,40,0
51,160724,40,2
55,282753,25,1
41,194636,60,0
23,153044,7,1
38,411797,40,0
39,117683,40,0
19,376540,30,0
49,72393,40,0
32,270335,40,0
27,96226,70,0
38,95336,50,0
33,258498,60,0
63,149698,15,0
23,205865,28,0
33,155781,60,0
54,406468,40,1
29,177119,45,0
48,144397,30,1
35,372525,40,0
28,164170,40,2
37,183800,50,0
42,177307,65,0
40,170108,40,0
47,341995,55,0
22,226508,50,0
30,87418,45,0
28,109165,40,0
63,28856,55,0
51,175897,20,0
22,99697,40,0
27,90270,40,3
35,152375,45,0
46,171550,38,0
37,211154,52,0
24,202570,15,1
37,168496,10,0
53,68898,40,0
27,93235,30,0
38,278924,44,0
53,311020,60,0
34,175878,40,0
23,543028,40,1
39,202027,45,0
43,158926,50,2
67,76860,40,2
81,136063,30,0
21,186648,20,0
23,257509,25,0
25,98155,40,0
42,274198,38,0
38,97083,40,1
64,29825,5,0
32,262153,40,0
37,214738,40,0
51,138022,60,0
22,91842,42,0
33,373662,40,0
42,162003,55,0
19,52114,10,0
51,241843,40,0
23,375871,40,0
37,186934,44,0
37,176900,99,0
47,21906,25,0
41,132222,40,0
33,143653,30,0
31,111567,40,0
31,78602,40,3
35,465507,40,1
38,196373,40,0
18,293227,45,0
20,241752,40,0
54,166398,35,1
40,184682,40,0
36,108293,45,0
43,250802,35,0
44,325159,40,0
44,174675,40,0
43,227065,43,0
51,269080,40,1
18,177722,20,0
51,133461,40,0
41,239683,30,0
44,398473,70,0
33,298785,40,0
33,123424,40,0
42,176286,40,0
25,150062,45,0
32,169240,38,0
32,288273,70,0
36,526968,40,0
28,57066,40,0
20,323573,20,0
35,368825,60,0
55,189721,20,0
48,164966,40,2
36,94954,20,0
34,202046,35,0
28,161538,35,0
67,105252,40,0
37,200153,40,0
44,32185,70,0
25,178326,40,0
21,255957,40,0
40,188693,35,0
78,182977,40,1
34,159929,40,0
49,123207,44,0
22,284317,40,0
23,184699,40,1
60,154474,42,0
45,318280,40,0
63,254907,20,0
41,349221,35,1
47,335973,40,0
44,126701,40,0
51,122159,40,0
46,187370,40,0
41,194636,40,0
50,124793,30,0
47,192835,50,0
35,290226,45,0
56,112840,55,0
45,89325,45,0
48,33109,58,0
40,82465,40,0
39,329980,50,0
20,148294,40,0
50,168212,65,0
38,343642,40,0
23,115244,60,0
31,162572,16,0
58,356067,40,0
66,271567,40,1
39,180804,40,0
54,123011,52,0
26,109186,50,0
51,220537,40,0
34,124827,40,0
50,767403,40,0
42,118494,44,0
38,173208,25,0
48,107373,40,0
33,26973,40,0
51,191965,32,0
22,122346,40,0
19,117201,30,0
41,198316,50,0
48,123075,35,0
42,209370,30,0
34,33117,40,0
23,129042,40,1
56,169133,50,0
30,201624,45,1
45,368561,55,0
48,207848,40,0
48,138370,50,2
31,93106,40,0
20,223515,20,0
27,389713,40,0
32,206365,40,1
76,431192,2,0
19,241616,40,0
66,150726,1,0
37,123785,75,0
34,289984,30,1
34,164309,8,0
90,137018,40,0
23,137994,40,1
43,341204,40,0
44,167005,60,0
24,34446,37,0
28,187160,55,0
64,196288,20,0
23,217961,40,0
20,74631,50,0
36,156667,50,0
61,125155,40,0
53,263925,40,0
30,296453,40,0
52,44728,55,0
38,193026,40,0
32,87643,40,0
30,106742,75,0
41,302122,40,0
49,193960,40,0
45,185385,47,0
43,277647,35,0
61,128848,40,0
54,377701,32,0
34,157886,40,0
49,175958,80,0
38,223004,40,0
35,199352,80,0
36,29984,40,0
30,181651,50,0
36,117312,60,0
22,34029,20,0
38,132879,40,0
37,215310,50,0
48,55863,46,0
17,220384,15,0
19,36012,20,0
27,137645,40,1
22,191342,50,2
49,31339,40,0
43,227910,40,0
43,173728,40,0
19,167816,35,0
58,81642,60,0
41,195258,40,0
31,232475,40,0
30,241259,40,0
32,118161,40,0
29,201954,35,0
42,150533,52,0
38,412296,28,0
41,133060,40,0
44,120539,50,0
31,196025,60,2
34,107793,40,0
21,163870,40,0
22,361280,20,2
62,92178,40,0
19,80710,40,0
29,260729,25,0
43,182254,40,0
68,140282,8,0
45,149865,60,0
39,218184,40,0
41,118619,50,1
34,196791,25,0
34,167999,33,0
31,51259,47,0
29,131088,25,0
41,118212,40,0
41,293791,55,0
35,289430,45,0
33,35378,45,0
37,60227,38,0
69,168139,40,0
34,290763,40,0
60,226355,70,0
36,51100,40,0
41,227644,50,0
58,205267,40,0
53,288020,40,2
29,140863,40,0
45,170915,40,0
34,50178,38,0
36,112497,40,0
48,95244,35,1
20,117606,40,0
35,89508,50,0
63,124244,40,1
41,154374,45,0
28,294936,45,0
30,347132,40,1
34,181934,40,0
31,316672,40,0
37,189382,38,0
42,184018,40,0
31,184307,50,0
46,246212,45,0
35,250504,60,1
27,138705,53,0
41,328447,35,0
19,194608,20,0
20,230891,45,0
59,212448,40,0
40,214010,37,0
56,200235,60,0
33,354573,44,0
30,205733,60,0
46,185041,50,0
61,84409,35,0
50,293196,40,0
25,241626,30,0
40,520586,39,0
24,35633,40,0
51,302847,54,0
43,165309,40,0
34,117529,54,0
46,106092,45,0
28,445824,50,0
26,227332,40,2
20,275691,28,0
44,193459,40,0
51,284329,40,0
33,114691,60,0
54,96062,40,0
50,133963,40,0
33,178506,40,1
65,350498,20,0
22,131573,8,0
88,206291,40,0
40,182302,40,0
51,241346,43,0
50,157043,40,1
25,404616,99,0
20,411862,30,0
47,183013,40,0
58,169982,40,0
22,188544,30,0
50,356619,48,0
47,45857,40,0
24,289886,45,2
50,146015,40,0
40,216237,45,0
36,416745,40,0
32,202952,40,0
44,167725,40,0
51,165637,40,0
59,43280,40,1
65,118779,30,0
24,191269,65,0
27,247507,35,0
51,239155,40,0
48,182862,40,0
39,33886,60,0
28,444304,40,0
19,187161,25,0
49,116892,40,1
51,176813,60,0
59,151616,55,0
18,240747,40,0
50,75472,40,0
45,320818,80,1
30,235271,50,0
37,166497,35,0
44,344060,40,0
33,221196,40,1
61,113544,40,0
61,321117,40,0
38,79619,42,0
22,42004,30,0
36,135289,45,0
44,320984,60,0
37,203070,62,0
31,32406,20,0
54,99185,45,0
20,205839,16,0
63,150389,40,0
48,243631,40,3
33,163003,41,2
31,231263,45,0
38,200818,40,0
45,247379,40,0
48,349151,40,0
53,22154,40,0
55,176317,40,0
38,22245,72,0
29,236436,40,0
36,354078,60,0
42,166813,60,0
50,358740,40,0
75,208426,35,0
46,265266,40,0
52,31838,40,0
27,175034,40,0
43,413297,45,0
31,106347,42,1
23,174754,30,0
34,441454,24,0
41,209344,40,0
31,185732,30,0
42,65372,40,0
35,33975,45,0
55,326297,25,0
36,194630,40,0
65,167414,59,0
38,165799,12,0
62,192866,20,0
54,166459,60,0
49,148995,40,0
34,190040,40,0
32,209432,40,0
51,229465,50,0
48,397466,60,0
30,283767,40,0
52,202452,43,0
28,218555,40,0
29,128604,40,2
38,65466,50,0
57,141326,50,0
43,369468,40,0
37,136137,40,0
30,236770,40,0
53,89534,48,0
69,195779,1,0
73,29778,37,0
22,153516,35,0
31,163594,45,0
38,189623,40,0
50,343748,35,0
37,387430,37,0
44,409505,40,0
47,200734,45,1
27,115831,40,0
28,150296,80,0
25,323545,40,1
20,232577,40,0
51,152754,40,0
46,129007,40,0
67,171584,7,0
47,386136,35,0
42,342865,40,0
52,186785,50,0
42,158926,40,2
65,36039,40,0
21,164019,10,1
50,88926,40,0
46,188861,40,0
47,370119,50,0
57,182062,40,0
37,37238,45,0
50,421132,40,0
58,178660,40,0
63,795830,30,0
39,278403,65,0
46,279661,35,1
36,113397,40,0
26,280093,50,0
21,236696,57,0
41,265266,40,0
44,34935,40,1
22,58222,40,0
29,301010,60,1
29,419721,40,1
58,186791,40,0
36,180686,50,0
30,209103,48,0
37,32668,43,0
29,256956,40,0
26,202203,40,0
43,85995,45,0
49,125421,40,0
45,283037,40,0
28,192932,40,0
20,244689,25,0
51,179646,40,0
32,509350,50,0
24,96279,40,0
35,119098,40,0
35,327120,55,0
41,144928,40,0
48,55237,45,0
61,101265,35,0
20,114874,30,0
27,190525,50,0
55,121912,24,0
39,83893,40,0
17,138507,20,0
47,256522,40,0
52,168381,40,2
24,293579,20,1
29,285290,40,1
25,188488,40,0
20,324469,40,0
23,275244,35,1
57,265099,60,0
51,146767,40,0
33,40681,16,0
39,174938,40,0
40,240124,40,0
71,269708,16,0
38,34180,40,0
28,225904,40,0
57,89392,40,0
47,46857,40,0
59,105363,40,0
26,195105,40,4
35,184117,40,0
61,134768,50,0
17,145886,30,0
36,153078,60,2
62,225652,50,0
34,467108,50,0
32,199765,50,0
42,173938,40,0
39,191161,40,0
58,132606,40,1
61,30073,60,0
40,155190,55,1
31,42900,37,0
36,191161,50,0
23,181820,40,0
33,105974,41,0
52,146378,40,0
22,103440,24,0
51,203435,40,0
31,168312,40,0
49,257764,40,0
49,171301,40,1
53,225339,40,1
52,152234,40,2
20,444554,40,0
26,403788,40,1
61,190997,6,0
43,221550,30,0
46,98929,52,0
43,169203,35,0
41,102332,40,1
44,230684,55,0
54,449257,40,0
65,198766,40,0
32,97429,40,0
25,208999,40,0
23,37072,50,0
25,163101,45,0
19,119075,50,0
37,137314,60,0
45,127303,45,0
37,349116,44,1
40,266324,70,0
19,194095,40,0
17,46496,5,0
27,29904,40,0
40,289403,40,1
59,226922,30,0
19,234151,40,1
43,238287,40,1
42,230624,40,0
54,398212,40,1
54,114758,50,0
51,246519,45,0
50,137815,60,0
40,260696,40,0
55,325007,25,0
50,113176,40,0
31,66815,50,0
42,51795,32,1
24,241523,45,0
30,30226,40,0
39,352628,50,0
37,143912,50,0
33,130021,40,0
48,329778,40,0
43,196945,78,2
39,24342,40,0
53,34368,45,0
52,173839,60,0
28,73211,20,2
32,86723,52,0
31,179186,90,1
31,127610,40,0
47,115070,40,0
19,172582,50,0
40,256202,40,1
40,202872,45,0
41,184102,40,0
53,130703,40,1
46,134727,43,3
45,36228,35,0
39,297847,34,1
19,213644,40,0
57,173796,40,0
49,147322,40,0
59,296253,40,0
32,180871,50,0
18,169882,15,0
35,211115,40,1
58,183870,40,0
28,441620,43,0
36,218542,40,0
41,141327,35,0
47,67716,40,0
50,175339,60,0
61,347089,16,0
36,336595,50,0
38,27997,40,0
56,145574,60,0
50,30447,45,0
45,256866,40,0
44,120837,66,0
51,185283,45,0
44,229466,50,0
25,298225,50,0
60,185749,40,1
17,333100,30,0
49,125892,50,0
46,563883,60,1
56,311249,38,1
25,221757,45,0
22,310152,40,0
76,211453,2,1
41,94113,60,0
48,192945,40,0
46,161508,40,1
30,177675,40,0
39,51100,40,0
40,100584,40,3
70,163003,40,1
35,67728,45,0
49,101320,75,0
24,42706,60,0
40,228535,36,0
61,120939,5,0
25,98283,40,2
28,216481,40,0
69,208869,11,0
22,207940,36,0
47,34248,38,0
38,83727,48,0
26,183077,40,0
17,197850,24,2
33,235271,35,0
43,35236,40,0
58,255822,40,0
53,263925,40,0
26,256263,25,0
43,293535,40,1
31,209448,40,0
30,57651,42,0
25,174592,25,0
57,278763,40,0
37,175232,60,0
32,402812,48,0
26,101150,41,0
45,103538,40,0
53,156877,35,0
27,23940,40,3
28,210295,50,0
32,80058,43,0
35,187119,65,0
36,105021,55,0
19,225775,40,0
37,395831,80,0
49,50282,45,0
20,32732,45,0
64,179436,55,0
60,290593,40,0
32,123253,42,0
58,48433,40,0
42,245317,50,0
20,431745,14,1
42,436006,40,1
25,224943,40,1
30,167990,65,0
37,217054,35,0
66,298834,50,0
59,125000,40,0
44,123983,40,2
46,155489,58,0
59,284834,30,0
25,212495,40,0
17,32124,9,1
47,246891,40,0
47,141483,40,0
30,31985,40,0
20,170800,40,0
26,166295,55,0
20,231286,15,1
33,159322,40,0
48,176026,40,0
52,118025,50,0
37,26898,12,0
47,232628,40,1
40,85995,40,0
48,125421,40,0
49,245305,42,1
50,73493,40,0
30,197058,40,0
34,122116,40,0
43,75742,40,0
22,214731,40,0
35,265954,40,1
26,197156,30,0
62,162245,70,0
39,203070,40,0
59,165695,40,0
69,473040,40,0
27,168107,40,0
17,163494,30,0
38,180342,40,0
41,122381,50,0
27,148069,40,0
23,200973,40,0
